Reading instance: DBACP/2024470-1_2.txt
Base instance loaded: 48 courses, 36 prerequisites, 9 min periods, 15 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 3.6
  Periods: 10
  Period 0 - 25 credits: inf3 inf152 fis130 inf308 inf305
  Period 1 - 24 credits: inf134 inf260 inf5 fis120 inf1 inf2
  Period 2 - 25 credits: inf239 inf314 fis140 inf7 inf311
  Period 3 - 24 credits: mat023 inf253 inf270 inf245 inf4
  Period 4 - 25 credits: inf221 inf236 inf276 inf246 inf306
  Period 5 - 26 credits: inf292 mat024 inf225 inf266 inf256
  Period 6 - 25 credits: inf285 inf155 inf322 inf280 iwn170
  Period 7 - 25 credits: inf295 inf360 inf343 inf293 icn270
  Period 8 - 24 credits: inf307 inf228 inf309 inf6 inf313
  Period 9 - 25 credits: inf310 inf312


Reporting top 5 solutions...

Time elapsed: 51.2841 seconds
