Reading instance: DBACP/2024438-7_4.txt
Base instance loaded: 47 courses, 31 prerequisites, 7 min periods, 13 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 15.875
  Periods: 8
  Period 0 - 29 credits: inf307 inf239 hrw2 inf1 inf305 inf7 inf4 inf312
  Period 1 - 29 credits: inf155 mat022 inf253 inf270 inf6 inf311
  Period 2 - 30 credits: inf221 inf236 inf276 inf308 inf245 inf314
  Period 3 - 29 credits: mat023 inf225 inf306 inf5 inf246 inf313
  Period 4 - 30 credits: fis130 fis120 inf322 inf266 inf3 inf2
  Period 5 - 31 credits: inf292 mat024 inf360 inf280 iwn170 inf256
  Period 6 - 32 credits: inf285 inf228 inf309 inf293 icn270 inf295
  Period 7 - 33 credits: fis140 inf310 inf343


Reporting top 25 solutions...

Time elapsed: 66.645 seconds
