Reading instance: DBACP/2024418-6_3.txt
Base instance loaded: 54 courses, 45 prerequisites, 8 min periods, 14 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 17.6
  Periods: 10
  Period 0 - 27 credits: inf311 inf134 iwg101 inf306 inf1 inf2 inf313
  Period 1 - 28 credits: inf239 inf260 inf245 inf6 inf314 inf5 inf3 inf7
  Period 2 - 28 credits: mat021 inf253 inf270 hrw2 inf308 inf4
  Period 3 - 30 credits: mat022 inf152 inf236 inf246 fis110
  Period 4 - 30 credits: mat023 inf155 inf225 inf276 fis130
  Period 5 - 28 credits: inf221 inf322 inf266 inf256 fis120
  Period 6 - 26 credits: inf307 inf292 mat024 inf343 inf280
  Period 7 - 28 credits: inf295 inf285 inf360 fis140 inf293
  Period 8 - 27 credits: inf228 inf309 iwn170 qui010 inf312
  Period 9 - 30 credits: inf310 icn270 inf305


Reporting top 25 solutions...

Time elapsed: 86.8706 seconds
