Reading instance: DBACP/2021170-K_3.txt
Base instance loaded: 52 courses, 41 prerequisites, 8 min periods, 14 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 2.88889
  Periods: 9
  Period 0 - 31 credits: inf1 fis110 inf6 inf314 inf3 inf308 inf312 inf2
  Period 1 - 30 credits: mat022 inf134 inf260 inf313 hrw2 inf305
  Period 2 - 30 credits: fis120 inf253 inf239 inf270 inf245 inf5
  Period 3 - 29 credits: inf7 mat023 inf152 inf236 inf276 inf246
  Period 4 - 30 credits: inf292 inf221 inf225 inf256 inf280 inf311
  Period 5 - 29 credits: fis130 inf322 inf266 mat024 inf343
  Period 6 - 30 credits: fis140 inf360 inf285 inf293 iwn170 inf4
  Period 7 - 30 credits: inf295 inf155 inf309 inf228 hrw1 inf306
  Period 8 - 30 credits: inf310 icn270 inf307


Reporting top 25 solutions...

Time elapsed: 83.3279 seconds
