Reading instance: DBACP/2021317-2_3.txt
Base instance loaded: 48 courses, 30 prerequisites, 8 min periods, 14 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 6
  Periods: 8
  Period 0 - 31 credits: inf245 fis130 inf314 inf308 inf312 hrw2
  Period 1 - 30 credits: inf246 inf253 inf239 inf270 inf306 inf307
  Period 2 - 30 credits: inf152 inf236 inf276 hrw1 inf3 inf313 inf305
  Period 3 - 32 credits: inf256 mat023 inf221 inf155 inf225 inf266
  Period 4 - 30 credits: inf343 fis120 inf292 inf322 inf280 inf7
  Period 5 - 31 credits: inf6 fis140 mat024 inf360 iwn170 inf295
  Period 6 - 29 credits: inf4 inf285 inf309 inf228 icn270 inf293
  Period 7 - 31 credits: inf1 inf310 inf2 inf5 inf311


Reporting top 25 solutions...

Time elapsed: 68.3082 seconds
