Reading instance: DBACP/2023081-2_2.txt
Base instance loaded: 52 courses, 39 prerequisites, 9 min periods, 15 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 10.4
  Periods: 10
  Period 0 - 27 credits: inf4 inf260 inf134 hrw2 inf313 inf314 inf1
  Period 1 - 26 credits: inf270 inf253 inf245 qui010 inf5 inf7 inf2
  Period 2 - 27 credits: inf276 mat022 inf246 inf311 inf305
  Period 3 - 27 credits: inf239 mat023 fis130 inf256 inf3
  Period 4 - 28 credits: inf266 inf236 fis120 inf152 inf307
  Period 5 - 28 credits: inf225 inf292 fis140 inf280 inf221
  Period 6 - 26 credits: inf322 inf293 iwn170 mat024 inf155
  Period 7 - 25 credits: inf360 icn270 inf285 inf343 inf312
  Period 8 - 27 credits: inf295 inf228 inf309 inf306 inf308
  Period 9 - 25 credits: inf310 inf6 hrw1


Reporting top 5 solutions...

Time elapsed: 59.3017 seconds
