Reading instance: DBACP/2022367-4_5.txt
Base instance loaded: 41 courses, 25 prerequisites, 6 min periods, 12 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 4.4
  Periods: 10
  Period 0 - 21 credits: inf292 inf280 inf6 inf314 inf3 inf2
  Period 1 - 22 credits: inf134 inf293 inf306 icn270 inf7
  Period 2 - 20 credits: inf239 inf295 fis140 inf4
  Period 3 - 20 credits: inf270 inf245 inf253 inf313
  Period 4 - 20 credits: inf276 inf236 inf246 inf221
  Period 5 - 20 credits: inf266 inf225 inf256 inf305
  Period 6 - 20 credits: inf322 inf343 inf308 inf307
  Period 7 - 20 credits: inf360 inf155 inf285 inf312
  Period 8 - 21 credits: inf228 inf309 inf5 inf1 inf311
  Period 9 - 20 credits: inf310


Reporting top 25 solutions...

Time elapsed: 48.8274 seconds
