Reading instance: DBACP/2020212-8_2.txt
Base instance loaded: 54 courses, 42 prerequisites, 9 min periods, 15 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 8.88889
  Periods: 9
  Period 0 - 31 credits: mat022 inf2 hrw2 inf313 hrw1 inf4 inf7 inf3 inf306
  Period 1 - 30 credits: inf308 inf134 inf152 inf260 inf312 inf307
  Period 2 - 30 credits: inf239 inf155 inf253 mat023 fis100 inf6
  Period 3 - 33 credits: inf236 inf221 fis110 inf292 iwn170 inf270
  Period 4 - 30 credits: inf225 inf245 inf295 icn270 inf276 inf305
  Period 5 - 31 credits: inf322 fis120 fis130 inf280 inf266
  Period 6 - 31 credits: inf246 mat024 fis140 inf293 inf360 inf5
  Period 7 - 32 credits: inf256 inf285 inf309 inf228 inf311 qui010
  Period 8 - 32 credits: inf343 inf310 inf314 inf1


Reporting top 5 solutions...

Time elapsed: 69.0997 seconds
