Reading instance: DBACP/2024882-7_2.txt
Base instance loaded: 54 courses, 41 prerequisites, 9 min periods, 15 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 4
  Periods: 8
  Period 0 - 34 credits: mat022 fis110 inf152 inf134 inf5 inf3 qui010
  Period 1 - 35 credits: fis120 inf239 inf253 inf260 inf306 inf2 inf314
  Period 2 - 33 credits: inf307 fis130 inf221 inf236 inf270 inf6 hrw1
  Period 3 - 34 credits: dew101 mat023 fis140 inf225 inf276 inf245 inf1
  Period 4 - 35 credits: inf292 mat024 inf322 inf266 inf246 inf280 inf7 inf4
  Period 5 - 35 credits: inf285 inf155 inf295 inf360 inf256 inf293 iwn170
  Period 6 - 35 credits: inf228 inf309 inf343 icn270 hrw2 inf305 inf313
  Period 7 - 35 credits: inf310 inf308 inf311 inf312


Reporting top 25 solutions...

Time elapsed: 98.8299 seconds
