Reading instance: DBACP/2020212-8_2.txt
Base instance loaded: 54 courses, 42 prerequisites, 9 min periods, 15 max periods.
Loading student specific case...

Best solution found:
Solution summary:
  Feasible: yes
  Fitness: 6.88889
  Periods: 9
  Period 0 - 30 credits: mat022 inf260 inf2 inf6 inf307 inf1 inf5 inf306
  Period 1 - 30 credits: inf134 inf270 inf314 inf313 inf312 inf305
  Period 2 - 31 credits: inf239 inf245 inf152 inf253 fis100 inf276
  Period 3 - 31 credits: inf3 inf236 inf246 mat023 inf266 inf311 inf4
  Period 4 - 33 credits: inf225 inf256 fis110 inf292 inf280 iwn170
  Period 5 - 31 credits: inf322 inf343 mat024 inf295 icn270 qui010
  Period 6 - 31 credits: inf155 inf221 fis130 inf293 inf360 hrw1
  Period 7 - 32 credits: inf285 fis120 inf309 inf228 inf7 inf308
  Period 8 - 31 credits: fis140 inf310 hrw2


Reporting top 25 solutions...

Time elapsed: 97.9955 seconds
